name	probe_name	x	y	z	hemisphere	impedance	shank_id	location
e001	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	NAc_group	NAc
e002	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	NAc_group	NAc
e003	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	NAc_group	NAc
e004	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	NAc_group	NAc
e005	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	NAc_group	NAc
e006	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	NAc_group	NAc
e007	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	NAc_group	NAc
e008	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	NAc_group	NAc
e009	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	NAc_group	NAc
e010	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	NAc_group	NAc
e011	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	NAc_group	NAc
e012	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	NAc_group	NAc
e013	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	NAc_group	NAc
e014	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	NAc_group	NAc
e015	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	NAc_group	NAc
e016	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	NAc_group	NAc
e017	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	VP_group	VP
e018	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	VP_group	VP
e019	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	VP_group	VP
e020	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	VP_group	VP
e021	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	VP_group	VP
e022	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	VP_group	VP
e023	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	VP_group	VP
e024	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	VP_group	VP
e025	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	VP_group	VP
e026	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	VP_group	VP
e027	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	VP_group	VP
e028	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	VP_group	VP
e029	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	VP_group	VP
e030	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	VP_group	VP
e031	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	VP_group	VP
e032	32ch_microwire_array	n/a	n/a	n/a	n/a	n/a	VP_group	VP
