onset	duration	nwb_table	block	tone_on_time	tone_off_time	action_on_time	action_off_time	pokeC_on_time	pokeC_off_time	reward_on_time	reward_off_time	state	action	reward	result	FinishedBlock	FirstTrial	LastTrial	RewardRule_L	RewardRule_R
4.338	317.44899999999996	BlockDesign														1.0	1.0	30.0	10.0	50.0
4.338	12.509999999999998	trials	1.0	12.92615	13.987063	15.682113000000001	16.163335	11.923	14.555915000000002			1.0	2.0	0.0	3.0					
19.028	6.015000000000001	trials	1.0	20.671301	21.91898	24.450239	25.044797	16.84768	21.912536			1.0		0.0	2.0					
26.999	8.864	trials	1.0	31.535479000000002	33.373646	34.545452	35.121698	30.738788	33.601448			1.0	2.0	0.0	3.0					
37.873	6.206000000000003	trials	1.0	39.725945	40.952975			35.862845	40.935731000000004			1.0		0.0	2.0					
44.97	5.194000000000003	trials	1.0	47.306351	47.661002			46.369633	47.655214			2.0		0.0	2.0					
52.72	8.453000000000003	trials	1.0	56.61079	57.85141			56.08041	58.897556	60.853	61.058	2.0		1.0	1.0					
63.697	8.786000000000001	trials	1.0	67.410964	68.836413	71.82855599999999	72.484272	66.400723	70.66373200000001			1.0	1.0	0.0	3.0					
74.173	8.866	trials	1.0	78.701099	79.76356999999999	82.36544799999999	83.03894600000001	77.869936	81.579308			1.0	1.0	0.0	3.0					
86.713	7.555000000000007	trials	1.0	90.47654499999999	92.28279599999999	93.88297700000001	94.266742	89.625651	93.114803			1.0	2.0	0.0	3.0					
98.233	9.774999999999991	trials	1.0	101.89178799999999	103.427816	106.09490299999999	106.69397000000001	101.091271	105.20313200000001	106.903	108.008	1.0	2.0	1.0	1.0					
111.079	6.359000000000009	trials	1.0	113.326412	114.92364699999999			112.413883	115.376836	117.108	117.283	2.0		1.0	1.0					
119.996	6.817000000000007	trials	1.0	122.181476	124.01068900000001	126.17653000000001	126.81272000000001	121.25121999999999	125.40047800000002			1.0	2.0	0.0	3.0					
129.518	8.889999999999986	trials	1.0	132.221476	133.298413	138.081333	138.39735100000001	131.512694	137.006089			1.0	1.0	0.0	3.0					
141.418	8.965000000000003	trials	1.0	144.181642	145.887113	148.565087	148.83901600000002	143.520377	147.712948	149.553	150.383	1.0	2.0	1.0	1.0					
154.401	6.411999999999978	trials	1.0	156.231848	157.72281700000002	159.05084	159.455488	154.941563	158.16021700000002	159.893	160.813	1.0	2.0	1.0	1.0					
162.833	8.094999999999999	trials	1.0	165.851507	167.749462	168.921515	169.42394000000002	165.15965500000001	167.883688	169.718	170.928	1.0	2.0	1.0	1.0					
173.028	8.551000000000016	trials	1.0	175.896604	177.933412	179.459473	179.99228200000002	175.383554	178.618447	180.258	181.579	1.0	2.0	1.0	1.0					
185.634	6.214000000000027	trials	1.0	187.253126	188.294801	189.77514100000002	190.253311	185.82144200000002	189.008777	190.628	191.848	1.0	2.0	1.0	1.0					
195.908	6.265000000000015	trials	1.0	197.547175	198.85360400000002			196.084292	199.869043	201.829	201.928	2.0		1.0	1.0					
205.708	6.840000000000003	trials	1.0	207.38712800000002	209.301149	210.733853	211.426264	206.298305	209.88821900000002			1.0	2.0	0.0	3.0					
215.108	5.769999999999982	trials	1.0	217.021997	218.309765			212.548919	218.70697900000002	220.668	220.718	2.0		1.0	1.0					
223.418	6.870999999999981	trials	1.0	225.918308	227.213809			225.29548300000002	228.045998			2.0		1.0	1.0					
232.763	8.109999999999985	trials	1.0	234.962605	236.851193	240.472313	240.875255	234.338375	238.442684			1.0	1.0	0.0	3.0					
243.833	4.455999999999989	trials	1.0	245.477335	246.278933			244.16699	246.275132			1.0		0.0	2.0					
250.299	17.825000000000017	trials	1.0	263.08364	264.203474	267.340786	268.125581	262.468246	266.740223			1.0	2.0	0.0	3.0					
271.673	9.894999999999982	trials	1.0	276.402418	277.931077	279.764506	280.090694	275.825345	278.541919	280.488	281.568	1.0	2.0	1.0	1.0					
285.633	6.7000000000000455	trials	1.0	287.34743000000003	288.59924	290.308393	290.95646	285.842824	289.56595300000004	291.073	292.333	1.0	2.0	1.0	1.0					
294.352	8.062000000000012	trials	1.0	297.672542	299.269489	300.393195	300.858751	296.867891	299.68342	301.088	302.414	1.0	2.0	1.0	1.0					
304.438	6.900000000000034	trials	1.0	307.482017	309.27468500000003			306.967249	309.262511			1.0		0.0	2.0					
314.348	7.4389999999999645	trials	1.0	317.536808	319.105551	321.716366	322.399909	316.77034100000003	320.943346			1.0	2.0	0.0	3.0					
326.058	1738.7800000000002	BlockDesign														1.0	31.0	171.0	50.0	10.0
326.058	5.5849999999999795	trials	2.0	327.968086	329.635036			323.005222	329.62174600000003			1.0		0.0	2.0					
333.653	74.60999999999996	trials	2.0	404.487691	406.220116	407.589082	408.264764	403.710218	406.824763			1.0	2.0	0.0	3.0					
411.923	10.004999999999995	trials	2.0	418.183115	419.55514600000004	421.209851	421.927826	417.346448	420.55466			1.0	2.0	0.0	3.0					
423.553	8.309000000000026	trials	2.0	428.084183	429.232798			427.221391	429.727835	431.468	431.624	2.0		1.0	1.0					
434.306	9.907000000000039	trials	2.0	436.28728	437.93951500000003			435.571864	438.41801300000003	440.133	440.633	2.0		1.0	1.0					
444.653	6.394999999999982	trials	2.0	446.69259700000003	448.284847			444.21511300000003	449.02411	450.778	450.973	2.0		1.0	1.0					
453.573	10.569999999999993	trials	2.0	457.322544	459.355427	461.496197	462.655591	456.78269	460.32498200000003	462.204	464.143	1.0	1.0	1.0	1.0					
467.165	9.132999999999981	trials	2.0	470.008123	471.176558	474.834137	475.596677	469.150535	473.847292			1.0	2.0	0.0	3.0					
478.221	6.391999999999996	trials	2.0	479.959352	481.297405	482.334803	483.171082	476.299717	481.456696	483.063	484.613	1.0	1.0	1.0	1.0					
488.633	7.895000000000039	trials	2.0	490.40788000000003	491.48618	494.807407	495.665359	489.429155	494.200588			1.0	1.0	0.0	3.0					
499.162	4.93100000000004	trials	2.0	501.158855	502.084649			496.527782	502.07451100000003			1.0		0.0	2.0					
507.108	6.380000000000052	trials	2.0	509.223181	510.608642	512.773568	513.488928	508.561753	512.087129			1.0	2.0	0.0	3.0					
517.15	9.375	trials	2.0	522.697151	524.421609			521.770988	524.4140239999999			2.0		0.0	2.0					
528.543	8.700000000000045	trials	2.0	530.2636809999999	531.848719			529.3211259999999	532.0665829999999	533.823	533.883	2.0		1.0	1.0					
538.638	12.329999999999927	trials	2.0	540.504963	542.1351259999999	548.7812319999999	549.46634	537.243445	542.348455	549.603	550.968	1.0	1.0	1.0	1.0					
