onset	duration	nwb_table	block	tone_on_time	tone_off_time	action_on_time	action_off_time	pokeC_on_time	pokeC_off_time	reward_on_time	reward_off_time	state	action	reward	result	FinishedBlock	FirstTrial	LastTrial	RewardRule_L	RewardRule_R
4.554	927.6600000000001	BlockDesign														1.0	1.0	58.0	10.0	50.0
4.554	5.549999999999999	trials	1.0	7.7839839999999985	9.125485999999999	9.781771999999998	10.024	7.004635999999999	9.106651999999999			1.0	1.0	0.0	3.0					
14.11	9.259	trials	1.0	20.314	21.995152	22.846398	23.372784	19.562838	22.323534			1.0	1.0	0.0	3.0					
25.229	115.19099999999999	trials	1.0	136.51092	138.415828			135.947928	138.411182			2.0		0.0	2.0					
142.424	8.379999999999995	trials	1.0	146.234476	148.298354			145.506492	148.550714			2.0		1.0	1.0					
154.34	6.929000000000002	trials	1.0	158.15928	159.900984	160.84556	161.272596	157.348864	160.280258			1.0	1.0	0.0	3.0					
164.124	12.094999999999999	trials	1.0	172.76462800000002	174.814742	175.779024	176.22162	171.90179	175.262308			1.0	2.0	0.0	3.0					
179.13	14.789999999999992	trials	1.0	190.704148	192.012544	193.249728	193.924902	190.002462	192.676036			1.0	1.0	0.0	3.0					
195.59	16.688999999999993	trials	1.0	206.01085	207.923374	209.562184	210.15343000000001	205.25322	208.68561	210.319	212.279	1.0	2.0	1.0	1.0					
215.299	7.174999999999983	trials	1.0	217.524584	219.077954	220.17852200000002	220.80017	216.64694	219.619302	220.984	222.474	1.0	2.0	1.0	1.0					
225.54	7.979000000000013	trials	1.0	228.499254	230.452738			227.74931800000002	231.204432			2.0		1.0	1.0					
237.085	5.8799999999999955	trials	1.0	238.80967	240.466064	242.344774	242.970214	237.765428	241.66577			1.0	2.0	0.0	3.0					
246.675	8.698999999999984	trials	1.0	251.78434000000001	253.420696	254.847422	255.37726800000002	251.211434	254.160202			1.0	1.0	0.0	3.0					
257.189	14.775999999999954	trials	1.0	266.574508	267.807908	269.787314	270.531924	266.004306	269.179702	270.654	271.965	1.0	2.0	1.0	1.0					
273.979	9.515000000000043	trials	1.0	277.164204	278.44622400000003			276.257192	281.086536			2.0		1.0	1.0					
286.779	5.2660000000000196	trials	1.0	288.659604	290.451182	291.62523	292.046158	286.9272	291.036102			1.0	1.0	0.0	3.0					
294.959	10.062999999999988	trials	1.0	300.819608	302.427884	304.046024	305.025466	300.238922	303.453718			1.0	2.0	0.0	3.0					
307.389	13.075999999999965	trials	1.0	316.315926	318.248264	319.693248	320.467214	315.39135	319.106006			1.0	1.0	0.0	3.0					
